Symbol,Date,Open,High,Low,Close,Volume
AAPL,2020-05-26,318.89,324.15,316.56,316.73,28799
AAPL,2020-05-27,316.73,318.6719,313.16,318.11,28800
AAPL,2020-05-28,318.11,323.43,315.88,318.25,28799
AAPL,2020-05-29,318.25,321.1185,316.52,317.94,20420
AAPL,2020-05-31,317.94,317.94,317.94,317.94,7217
AAPL,2020-06-01,317.94,322.35,317.345,321.85,28796
AAPL,2020-06-02,321.85,323.38,318.93,323.34,28800
AAPL,2020-06-03,323.34,326.0,322.37,325.12,28800
AAPL,2020-06-04,325.12,325.6,320.79,322.32,28799
AAPL,2020-06-05,322.32,331.75,322.32,331.5,20420
AAPL,2020-06-07,331.5,331.5,331.5,331.5,7217
AAPL,2020-06-08,331.5,333.58,327.43,333.46,28800
AAPL,2020-06-09,333.46,345.59,332.11,343.99,28800
AAPL,2020-06-10,343.99,354.7044,343.99,352.84,28799
AAPL,2020-06-11,352.84,352.84,335.66,335.9,20460
AAPL,2020-06-14,338.8,338.8,338.8,338.8,7206
AAPL,2020-06-15,338.8,344.78,332.605,342.99,28758
AAPL,2020-06-16,342.99,353.17,342.99,352.08,28757
AAPL,2020-06-17,352.08,355.3,351.41,351.59,28758
AAPL,2020-06-18,351.59,353.43,349.2254,351.73,28758
AAPL,2020-06-19,351.73,356.47,345.2101,349.72,20392
AAPL,2020-06-21,349.72,349.72,349.72,349.72,7209
AAPL,2020-06-22,349.72,359.43,349.72,358.87,28769
AAPL,2020-06-23,358.87,372.24,358.87,366.53,28770
AAPL,2020-06-24,366.53,368.7499,358.58,360.06,28769
AAPL,2020-06-25,360.06,365.0,357.6,364.84,28769
AAPL,2020-06-26,364.84,365.32,353.15,353.63,20400
AAPL,2020-06-29,361.78,361.78,361.78,361.78,7212
AAPL,2020-06-30,361.78,365.93,360.07,364.8,28769
AAPL,2020-07-01,364.8,367.33,363.9742,364.11,28770
AAPL,2020-07-02,364.11,370.46,363.88,364.11,28768
AAPL,2020-07-03,364.11,364.11,364.11,364.11,20397
AAPL,2020-07-05,364.11,364.11,364.11,364.11,7206
AAPL,2020-07-06,364.11,375.73,364.11,373.85,28757
AAPL,2020-07-07,373.85,378.61,372.44,372.69,28757
AAPL,2020-07-08,372.69,381.42,372.69,381.37,28758
AAPL,2020-07-09,381.37,385.1,378.7501,382.73,28758
AAPL,2020-07-10,382.73,383.88,378.84,383.68,20392
AAPL,2020-07-12,383.68,383.68,383.68,383.68,7207
AAPL,2020-07-13,383.68,399.7726,381.19,381.91,28755
AAPL,2020-07-14,381.91,389.0,375.54,388.23,28752
AAPL,2020-07-15,388.23,396.94,386.04,390.9,28757
AAPL,2020-07-16,390.9,390.9,383.733,386.09,28758
AAPL,2020-07-17,386.09,388.33,383.4609,385.31,20390
