date,open,high,low,close,volume
2016-02-23,130.1600,130.5000,128.0600,128.1600,2235165
2016-02-24,126.5100,131.2500,125.4100,130.3400,2567965
2016-02-25,130.7800,132.4900,128.6900,132.4700,2565226
2016-02-26,134.2000,134.9700,132.2500,133.1100,2714154
2016-02-29,133.3400,137.9200,132.9000,133.9700,3591092
2016-03-01,135.3700,138.6400,134.6200,138.4300,4490578
2016-03-02,137.8500,138.2400,135.0500,136.9700,4383586
2016-03-03,137.7500,138.8500,134.3000,137.3300,5943719
2016-03-04,146.0000,147.8600,141.7200,146.0600,7239892
2016-03-07,144.7600,146.2300,140.5700,143.5100,4139574
2016-03-08,142.2900,142.8200,139.4100,139.6300,3242849
2016-03-09,140.7500,142.5300,140.4710,141.9600,3115229
2016-03-10,143.4600,145.8000,142.0000,144.4200,5454629
2016-03-11,145.9900,150.0200,145.7500,148.8200,5582161
2016-03-14,147.1100,149.1900,147.0000,148.1400,2844425
2016-03-15,148.5000,149.9800,146.0800,148.4700,3089141
2016-03-16,147.4600,149.2700,146.8500,148.6300,3490583
2016-03-17,147.3700,151.7200,147.3700,151.5500,4470822
2016-03-18,151.9400,153.0000,150.8700,152.4900,7056844
2016-03-21,152.5900,153.0000,150.8300,152.8900,2820679
2016-03-22,152.4000,155.6100,151.5500,154.7600,3394481
2016-03-23,154.8200,155.3200,152.3400,152.9900,2757731
2016-03-24,151.7600,153.2900,151.1200,153.0000,2565064
2016-03-28,153.2800,153.5000,152.0700,153.1000,1722440
2016-03-29,153.2700,154.9300,152.1800,154.1300,2677251
2016-03-30,155.0000,157.2800,154.5400,156.9300,2679419
2016-03-31,157.0200,157.3700,154.4500,154.5000,2496805
2016-04-01,154.0400,157.9200,151.1600,157.8000,2567076
2016-04-04,158.0000,158.3280,155.6600,156.0100,1776139
2016-04-05,154.4500,157.0500,154.4500,155.0300,5691998
2016-04-06,154.7000,157.7700,153.7100,157.5400,2814894
2016-04-07,157.4800,157.9500,154.6900,154.9700,2297509
2016-04-08,156.2800,156.9000,154.6400,156.1500,1852553
2016-04-11,157.4300,157.8000,155.6000,155.6100,1856812
2016-04-12,156.0100,156.3700,153.0000,155.4300,1653719
2016-04-13,156.4700,159.6500,155.6101,159.4800,2173044
2016-04-14,157.2900,159.1100,156.0000,158.8200,2755135
2016-04-15,158.1300,158.3400,154.5200,155.4900,2768497
2016-04-18,155.3500,156.4000,153.8100,155.9000,1529690
2016-04-19,156.4500,156.7658,150.7894,151.0700,2456039
2016-04-20,151.4600,154.0999,150.4007,153.2300,1943543
2016-04-21,152.9000,153.2800,150.4458,151.3500,1611670
2016-04-22,150.4000,152.9400,148.7300,150.3300,2569914
2016-04-25,150.2500,150.8600,148.7700,149.1000,1087065
2016-04-26,151.4900,154.1100,150.0400,150.7600,2630941
2016-04-27,147.2100,153.3600,146.5000,151.5300,3893442
2016-04-28,150.3900,154.0200,147.3300,147.9900,2552027
2016-04-29,146.3100,147.7900,143.2500,145.7500,3506716
2016-05-02,146.1600,146.8300,144.4950,146.0800,1952538
2016-05-03,145.1000,145.9900,142.3300,143.2000,2398598
2016-05-04,142.5100,144.4200,141.2700,142.0700,2088845
2016-05-05,143.8200,144.9000,142.0900,142.5800,1684068
2016-05-06,141.7600,142.5005,139.1800,141.8900,3002669
2016-05-09,142.0000,143.9200,141.2600,142.4000,1730027
2016-05-10,142.5000,145.1400,141.5000,144.6100,1846077
2016-05-11,144.0900,146.2200,143.5100,143.8500,1671570
2016-05-12,144.0700,144.7300,139.5200,141.0400,2645211
2016-05-13,140.9400,143.1300,139.6200,140.0500,2171649
2016-05-16,140.8700,143.6200,140.6900,142.6500,2037262
2016-05-17,142.5100,142.9900,139.8800,141.1700,2124848
2016-05-18,140.5300,145.0500,140.3300,143.8800,2262007
2016-05-19,143.0300,144.6600,141.1200,142.7400,1747768
2016-05-20,144.1300,147.6700,143.7100,146.7300,2588947
2016-05-23,148.1900,150.3350,147.8800,148.1000,1760859
2016-05-24,148.6000,151.6800,148.3500,151.4200,1990685
2016-05-25,151.8400,154.0000,150.4900,153.5700,2176249
2016-05-26,153.7700,154.2500,151.8200,153.0200,1843135
